Row_num,Sepal_length_cm,Sepa_width_cm,Pedal_length_cm,Pedal_width_cm,Species
Row_84,6,2.7,5.1,1.6,Iris-versicolor
Row_85,5.4,3,4.5,1.5,Iris-versicolor
Row_86,6,3.4,4.5,1.6,Iris-versicolor
Row_87,6.7,3.1,4.7,1.5,Iris-versicolor
Row_88,6.3,2.3,4.4,1.3,Iris-versicolor
Row_89,5.6,3,4.1,1.3,Iris-versicolor
Row_90,5.5,2.5,4,1.3,Iris-versicolor
Row_91,5.5,2.6,4.4,1.2,Iris-versicolor
Row_92,6.1,3,4.6,1.4,Iris-versicolor
Row_93,5.8,2.6,4,1.2,Iris-versicolor
Row_94,5,2.3,3.3,1,Iris-versicolor
Row_95,5.6,2.7,4.2,1.3,Iris-versicolor
Row_96,5.7,3,4.2,1.2,Iris-versicolor
Row_97,5.7,2.9,4.2,1.3,Iris-versicolor
Row_98,6.2,2.9,4.3,1.3,Iris-versicolor
Row_99,5.1,2.5,3,1.1,Iris-versicolor
Row_100,5.7,2.8,4.1,1.3,Iris-versicolor
Row_101,6.3,3.3,6,2.5,Iris-virginica
Row_102,5.8,2.7,5.1,1.9,Iris-virginica
Row_103,7.1,3,5.9,2.1,Iris-virginica
Row_104,6.3,2.9,5.6,1.8,Iris-virginica
Row_105,6.5,3,5.8,2.2,Iris-virginica
Row_106,7.6,3,6.6,2.1,Iris-virginica
Row_107,4.9,2.5,4.5,1.7,Iris-virginica
Row_108,7.3,2.9,6.3,1.8,Iris-virginica
Row_109,6.7,2.5,5.8,1.8,Iris-virginica
Row_110,7.2,3.6,6.1,2.5,Iris-virginica
Row_111,6.5,3.2,5.1,2,Iris-virginica
Row_112,6.4,2.7,5.3,1.9,Iris-virginica
Row_113,6.8,3,5.5,2.1,Iris-virginica
Row_114,5.7,2.5,5,2,Iris-virginica
Row_115,5.8,2.8,5.1,2.4,Iris-virginica
Row_116,6.4,3.2,5.3,2.3,Iris-virginica
Row_117,6.5,3,5.5,1.8,Iris-virginica
Row_118,7.7,3.8,6.7,2.2,Iris-virginica
Row_119,7.7,2.6,6.9,2.3,Iris-virginica
Row_120,6,2.2,5,1.5,Iris-virginica
Row_121,6.9,3.2,5.7,2.3,Iris-virginica
Row_122,5.6,2.8,4.9,2,Iris-virginica
Row_123,7.7,2.8,6.7,2,Iris-virginica
Row_124,6.3,2.7,4.9,1.8,Iris-virginica
Row_125,6.7,3.3,5.7,2.1,Iris-virginica
Row_126,7.2,3.2,6,1.8,Iris-virginica
Row_127,6.2,2.8,4.8,1.8,Iris-virginica
Row_128,6.1,3,4.9,1.8,Iris-virginica
Row_129,6.4,2.8,5.6,2.1,Iris-virginica
Row_130,7.2,3,5.8,1.6,Iris-virginica
Row_131,7.4,2.8,6.1,1.9,Iris-virginica
Row_132,7.9,3.8,6.4,2,Iris-virginica
Row_133,6.4,2.8,5.6,2.2,Iris-virginica
Row_134,6.3,2.8,5.1,1.5,Iris-virginica
Row_135,6.1,2.6,5.6,1.4,Iris-virginica
Row_136,7.7,3,6.1,2.3,Iris-virginica
Row_137,6.3,3.4,5.6,2.4,Iris-virginica
Row_138,6.4,3.1,5.5,1.8,Iris-virginica
Row_139,6,3,4.8,1.8,Iris-virginica
Row_140,6.9,3.1,5.4,2.1,Iris-virginica
Row_141,6.7,3.1,5.6,2.4,Iris-virginica
Row_142,6.9,3.1,5.1,2.3,Iris-virginica
Row_143,5.8,2.7,5.1,1.9,Iris-virginica
Row_144,6.8,3.2,5.9,2.3,Iris-virginica
Row_145,6.7,3.3,5.7,2.5,Iris-virginica
Row_146,6.7,3,5.2,2.3,Iris-virginica
Row_147,6.3,2.5,5,1.9,Iris-virginica
Row_148,6.5,3,5.2,2,Iris-virginica
Row_149,6.2,3.4,5.4,2.3,Iris-virginica
Row_150,5.9,3,5.1,1.8,Iris-virginica
